,session,time,time,scenario,duration
,first,min,max,first,
session,,,,,
1549274269236-0.yzc7jfhnfej,1549274269236-0.yzc7jfhnfej,1549274583177,1549274691979,juxtaposed-animated,108.802
1549274965230-0.ak1aliaur6m,1549274965230-0.ak1aliaur6m,1549274965230,1549275826805,juxtaposed-animated,861.575
1549279062844-0.453sw2moigx,1549279062844-0.453sw2moigx,1549279062844,1549279163436,juxtaposed-animated,100.592
1549292458625-0.pkpw7noxup,1549292458625-0.pkpw7noxup,1549292458625,1549292678621,juxtaposed-animated,219.996
1549306266670-0.7gh6fnk0ows,1549306266670-0.7gh6fnk0ows,1549306266671,1549306449209,superposed-static,182.538
1549306524526-0.5l0et3tikfp,1549306524526-0.5l0et3tikfp,1549306524526,1549306527740,superposed-static,3.214
1549306541856-0.tza67t8rk19,1549306541856-0.tza67t8rk19,1549306541856,1549306642507,superposed-static,100.651
1549306775878-0.9m54ldeesnq,1549306775878-0.9m54ldeesnq,1549306775878,1549306778485,superposed-animated,2.607
1549306795129-0.w8ih3ibc80c,1549306795129-0.w8ih3ibc80c,1549306795129,1549306799610,superposed-animated,4.481
1549306813666-0.ep4ks12s3hn,1549306813666-0.ep4ks12s3hn,1549306813666,1549306818152,juxtaposed-animated,4.486
1549306821053-0.vo08xbd9yx,1549306821053-0.vo08xbd9yx,1549306821053,1549306822535,juxtaposed-animated,1.482
1549306830774-0.k0ao50ezdc,1549306830774-0.k0ao50ezdc,1549306830774,1549306833002,juxtaposed-animated,2.228
1549306836422-0.h4yrmqsr36g,1549306836422-0.h4yrmqsr36g,1549306836422,1549306838630,juxtaposed-animated,2.208
1549306862810-0.j2qiu3csuu,1549306862810-0.j2qiu3csuu,1549306862810,1549307245008,juxtaposed-static,382.198
1549312331726-0.q3qk6cdwddm,1549312331726-0.q3qk6cdwddm,1549312331726,1549312371736,superposed-animated,40.01
1549315908440-0.c6ywoi0bqu4,1549315908440-0.c6ywoi0bqu4,1549315908440,1549316009790,juxtaposed-animated,101.35
1549317344349-0.n4zmo71rmbm,1549317344349-0.n4zmo71rmbm,1549317344349,1549317445085,juxtaposed-animated,100.736
1549380148634-0.t1mrjnhfr9,1549380148634-0.t1mrjnhfr9,1549380148634,1549380152097,superposed-animated,3.463
1549380157072-0.ttoxc37ix8,1549380157072-0.ttoxc37ix8,1549380157072,1549380160463,superposed-animated,3.391
1549380164749-0.zxk602spxv,1549380164749-0.zxk602spxv,1549380164749,1549380167429,superposed-animated,2.68
1549380171815-0.5yggpj5o6or,1549380171815-0.5yggpj5o6or,1549380171815,1549380175530,superposed-animated,3.715
1549380181279-0.rorynkybs1d,1549380181279-0.rorynkybs1d,1549380181279,1549380186102,superposed-animated,4.823
1549380190312-0.k6lo1h1ty6a,1549380190312-0.k6lo1h1ty6a,1549380190313,1549380199281,juxtaposed-animated,8.968
1549380203717-0.0aab2gtmakfc,1549380203717-0.0aab2gtmakfc,1549380203717,1549380208131,juxtaposed-animated,4.414
1549380220616-0.cspk0t9rbnp,1549380220616-0.cspk0t9rbnp,1549380220616,1549380341157,juxtaposed-animated,120.541
1549380374897-0.bz70hx0fx1k,1549380374897-0.bz70hx0fx1k,1549380374897,1549380379864,juxtaposed-animated,4.967
1549381866349-0.i3cnhn9nwq,1549381866349-0.i3cnhn9nwq,1549381866349,1549381966349,juxtaposed-animated,100.0
1549476566414-0.s6ehmv4q3x8,1549476566414-0.s6ehmv4q3x8,1549476566415,1549477006484,juxtaposed-static,440.069
1549545871219-0.nf3zv8xpd8r,1549545871219-0.nf3zv8xpd8r,1549545871219,1549545875272,juxtaposed-animated,4.053
1549545879947-0.m97m1d0puqe,1549545879947-0.m97m1d0puqe,1549545879947,1549545919951,superposed-animated,40.004
1549545889949-0.0q9lteremui,1549545889949-0.0q9lteremui,1549545889949,1549545896893,superposed-animated,6.944
1549545901866-0.ri2xdiy9yhi,1549545901866-0.ri2xdiy9yhi,1549545901866,1549545908429,juxtaposed-animated,6.563
1549549946208-0.hgjfcufvw72,1549549946208-0.hgjfcufvw72,1549549946208,1549549952478,superposed-animated,6.27
1549549964693-0.qqqziojz324,1549549964693-0.qqqziojz324,1549549964693,1549549970396,superposed-animated,5.703
1549549980314-0.2yraedycqwi,1549549980314-0.2yraedycqwi,1549549980314,1549550120327,juxtaposed-animated,140.013
1549550007374-0.bxn4m533q5v,1549550007374-0.bxn4m533q5v,1549550007374,1549550107375,juxtaposed-animated,100.001
1549550060121-0.bj85c9gosx,1549550060121-0.bj85c9gosx,1549550060121,1549550073534,juxtaposed-animated,13.413
1549550087623-0.vr232vzf168,1549550087623-0.vr232vzf168,1549550087623,1549550098236,juxtaposed-animated,10.613
1549550105543-0.i0xa4n1kqot,1549550105543-0.i0xa4n1kqot,1549550105543,1549550114296,superposed-animated,8.753
1549838475336-0.rdaweq30mk,1549838475336-0.rdaweq30mk,1549838475336,1549838481469,juxtaposed-animated,6.133
1549984548917-0.rwf0vzs5za,1549984548917-0.rwf0vzs5za,1549984548918,1549984571714,superposed-animated,22.796
1549984581006-0.oboww77cozb,1549984581006-0.oboww77cozb,1549984581006,1549984595946,superposed-animated,14.94
1549984600833-0.bg47sefsasp,1549984600833-0.bg47sefsasp,1549984600833,1549984600837,superposed-animated,0.004
1549984621996-0.9xjmsaz4gvc,1549984621996-0.9xjmsaz4gvc,1549984621996,1549985242593,juxtaposed-animated,620.597
1550172236692-0.p215uu73sf8,1550172236692-0.p215uu73sf8,1550172236692,1550172850208,superposed-static,613.516
1550176695130-0.n5jnr01oz5t,1550176695130-0.n5jnr01oz5t,1550176695130,1550176699591,superposed-static,4.461
1550176727433-0.yc0q7kghsp,1550176727433-0.yc0q7kghsp,1550176727433,1550176728651,superposed-static,1.218
1550177622421-0.9j0z5c9io,1550177622421-0.9j0z5c9io,1550177622421,1550177723383,juxtaposed-static,100.962
1550246996368-0.jirf5l7yqnh,1550246996368-0.jirf5l7yqnh,1550246996368,1550247244030,superposed-animated,247.662
1550247247510-0.34j71ny6n7h,1550247247510-0.34j71ny6n7h,1550247247510,1550247367511,superposed-animated,120.001
1550247385573-0.itj7bgxptoo,1550247385573-0.itj7bgxptoo,1550247385574,1550247465576,superposed-animated,80.002
1550247468441-0.85qs18bpqfo,1550247468441-0.85qs18bpqfo,1550247468441,1550247568440,superposed-animated,99.999
1550247573159-0.3doqu67egff,1550247573159-0.3doqu67egff,1550247573159,1550247674128,superposed-animated,100.969
1550248720883-0.hfivc1inmt5,1550248720883-0.hfivc1inmt5,1550248720883,1550248820882,juxtaposed-static,99.999
1550248825352-0.d79e316euvq,1550248825352-0.d79e316euvq,1550248825352,1550248965350,juxtaposed-static,139.998
1550248984652-0.hpuo2wuwnpg,1550248984652-0.hpuo2wuwnpg,1550248984652,1550249024653,juxtaposed-static,40.001
1550249028304-0.jh8r2ag2h6o,1550249028304-0.jh8r2ag2h6o,1550249028304,1550249050275,juxtaposed-static,21.971
1550264460873-0.lz0rd7il80o,1550264460873-0.lz0rd7il80o,1550264460874,1550264862975,juxtaposed-animated,402.101
1550264877110-0.i24vjx6i1ro,1550264877110-0.i24vjx6i1ro,1550264877110,1550264917126,juxtaposed-animated,40.016
1550264933322-0.oizst3xkzmo,1550264933322-0.oizst3xkzmo,1550264933322,1550265213437,juxtaposed-animated,280.115
1550265274675-0.qckwt4rtpr,1550265274675-0.qckwt4rtpr,1550265274675,1550265414700,juxtaposed-animated,140.025
1550265777280-0.ya1zq7dy90r,1550265777280-0.ya1zq7dy90r,1550265777280,1550265918158,juxtaposed-animated,140.878
1550515898044-0.kdjn7qly3q,1550515898044-0.kdjn7qly3q,1550515898044,1550515918046,superposed-static,20.002
1550515924044-0.6jquujdrnm7,1550515924044-0.6jquujdrnm7,1550515924044,1550515927758,superposed-static,3.714
1550515933497-0.pw5tcgvl55l,1550515933497-0.pw5tcgvl55l,1550515933497,1550515938173,superposed-static,4.676
1550515943734-0.pz9as6m6lt,1550515943734-0.pz9as6m6lt,1550515943734,1550515945858,superposed-static,2.124
1550515952436-0.1a96yqpm7bz,1550515952436-0.1a96yqpm7bz,1550515952437,1550516053172,superposed-static,100.735
1550516106123-0.x114cigopk,1550516106123-0.x114cigopk,1550516106123,1550516107573,superposed-static,1.45
1550516115215-0.uob60mx3ftl,1550516115215-0.uob60mx3ftl,1550516115216,1550516115219,superposed-static,0.003
1550516127450-0.swqfxhpnkzh,1550516127450-0.swqfxhpnkzh,1550516127450,1550516136888,superposed-static,9.438
1550516147178-0.ni3ijna7rhc,1550516147178-0.ni3ijna7rhc,1550516147178,1550516247604,superposed-static,100.426
1550516153700-0.pfhpuev670h,1550516153700-0.pfhpuev670h,1550516153701,1550516334963,superposed-static,181.262
1550572077858-0.rahqnuts569,1550572077858-0.rahqnuts569,1550572077858,1550572204294,superposed-animated,126.436
1550572213878-0.fc5osvb7mg7,1550572213878-0.fc5osvb7mg7,1550572213879,1550572233884,superposed-animated,20.005
1550579654685-0.p6uisi4ae9n,1550579654685-0.p6uisi4ae9n,1550579654686,1550579754698,juxtaposed-animated,100.012
1550579676249-0.cffax86sm8f,1550579676249-0.cffax86sm8f,1550579676249,1550579690747,juxtaposed-animated,14.498
1550579694356-0.js751b7lf9f,1550579694356-0.js751b7lf9f,1550579694356,1550579774360,juxtaposed-animated,80.004
1550579780272-0.at7ztoim5oq,1550579780272-0.at7ztoim5oq,1550579780272,1550579789786,juxtaposed-animated,9.514
1550579796764-0.2ftknj4huym,1550579796764-0.2ftknj4huym,1550579796765,1550579816766,juxtaposed-animated,20.001
1550579822363-0.o0hugpt9fxn,1550579822363-0.o0hugpt9fxn,1550579822363,1550579922396,juxtaposed-animated,100.033
1550579829913-0.geud6t88m5g,1550579829913-0.geud6t88m5g,1550579829913,1550579839915,juxtaposed-animated,10.002
1550579850298-0.bk78iheeno,1550579850298-0.bk78iheeno,1550579850299,1550579990314,juxtaposed-animated,140.015
1550579908210-0.v4edgqzgzt,1550579908210-0.v4edgqzgzt,1550579908210,1550579948245,juxtaposed-animated,40.035
1550579995269-0.sshav770nt,1550579995269-0.sshav770nt,1550579995269,1550580018081,juxtaposed-animated,22.812
1550580031529-0.qzj2nowocms,1550580031529-0.qzj2nowocms,1550580031529,1550580051533,juxtaposed-animated,20.004
1550580059630-0.0hah29ukn0w,1550580059630-0.0hah29ukn0w,1550580059630,1550580068450,juxtaposed-animated,8.82
1550580092245-0.9w3epzjyguq,1550580092245-0.9w3epzjyguq,1550580092245,1550580098680,juxtaposed-animated,6.435
1550580119648-0.e58bbwv7nw,1550580119648-0.e58bbwv7nw,1550580119648,1550580134600,juxtaposed-animated,14.952
1550580648199-0.wpy1qwu3zj,1550580648199-0.wpy1qwu3zj,1550580648199,1550580668201,juxtaposed-animated,20.002
1550580657480-0.8bzojbn8rv2,1550580657480-0.8bzojbn8rv2,1550580657480,1550580677493,juxtaposed-animated,20.013
1550580688295-0.3eoq5xh77xr,1550580688295-0.3eoq5xh77xr,1550580688296,1550580708303,juxtaposed-animated,20.007
1550580712799-0.t57a9cxzyio,1550580712799-0.t57a9cxzyio,1550580712799,1550580716688,juxtaposed-animated,3.889
1550580720751-0.bdjitasxslk,1550580720751-0.bdjitasxslk,1550580720751,1550580920980,juxtaposed-animated,200.229
1550580961755-0.kb4m2snlp0l,1550580961755-0.kb4m2snlp0l,1550580961755,1550580981761,juxtaposed-animated,20.006
